star,date,Name,Review Like,Review Text
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 10, 2018",Al-Amin Hossain,0,They steal all the personal information from the user.
"<div aria-label=""Rated 3 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","December 27, 2017 January 2, 2018",Shoaib Adnan Pathao Inc,11,The app doesn't respond all the time!
"<div aria-label=""Rated 4 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","January 5, 2018 May 3, 2017",Rakibul Hasan Pathao Inc,0,ভাল উদ্যোগ। তবে বাইকারের ছবির সাথে বাইকের নাম্বার টা দিলে সেইফটি সিকিউরিটি নিশ্চিত হয়।
"<div aria-label=""Rated 4 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","December 29, 2017",Md. Ariful Islam,2,MAP should be updated in Real time.
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","January 5, 2018",reaz uddin,3,Very much helpful
"<div aria-label=""Rated 3 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","January 4, 2018 January 8, 2018",Md Sujon Bepary Pathao Inc,0,ভাই আপডেট করার পড়ে ঝামেলা হয়েছে.... আপনাদের আগেরটা ই ভালো ছিলো
"<div aria-label=""Rated 2 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","January 1, 2018 January 1, 2018",Ratul Saha Pathao Inc,2,"Need to imorove ur apps,maps"
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","January 2, 2018",Bakhtiar Rahman,1,Superb service. Fastest delivery & ride service in Dhaka. Loved it.
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 30, 2017",A Google user,2,thankyou for this gift (gift=Pathao).
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 10, 2018",rizwan bappy,0,They are stealing personal info from phone...Be aware....
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","January 4, 2018",Nazmul Hasan,3,Really helpful .
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","February 23, 2018 February 27, 2018",Nahid Hasan z Pathao Inc,0,faltu app taka mere khay 😡😡😡
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","January 3, 2018 January 8, 2018",MD kanon Pathao Inc,0,ফালতু ওপেন ই হয়না..!! এইনি সর্ভিস দিতে আসচেন...??
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 28, 2017",Avi Jit,7,Great Initiative
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","May 28, 2018",Robin Sarker OFFICIAL,0,Anondomoy Vromon
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 28, 2017",Koushik Sarker Rudra,3,nice service
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 27, 2017",A Google user,5,valoiiii
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","January 30, 2018",prince rmaan,0,Awesome  Initiative from Bangladeshi Develolopers
"<div aria-label=""Rated 4 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","January 1, 2018 December 21, 2017",Yeasin Hossain Khan Pathao Inc,2,Like
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","March 9, 2018",MD KAMRAN,0,have a good journey all time.....
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 29, 2017",hayder vai agent,1,awsomexperience
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","January 2, 2018",mir Shimul,1,Nice app
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","January 8, 2018",Pain Killers,1,very good...keep it
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","January 3, 2018",shabarul milton,0,Better service..
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","January 4, 2018",Niamul Haque Shawon,0,😁😁😁
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","January 15, 2018",shawon CHOWDHURY,0,i love this app
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","January 23, 2018",Shahriar Ahmed,0,Great innovation
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","January 6, 2018",Operthibo Partha,0,keep it up
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 29, 2017",Tanvir. Dhaka,2,Good
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 31, 2017",mynulhossain evan,2,best
"<div aria-label=""Rated 4 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","December 27, 2017",Nayeem Sadat,2,Good
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","January 12, 2018",kamrul hasan,1,Excellent
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","January 3, 2018",Arman Hridoy,1,Good
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 29, 2017",A Google user,1,Good
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","January 10, 2018",Panjatan Masum,0,👍👎💔💟💔💔🙅🙇😖😔😌😭😝😫😨😧😦😥😤😣😟😱😲😳😵😜😛😒😞😷😶
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","January 2, 2018",Shohidul Islam,0,Awesome
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 30, 2017",S K Parvez islam,0,Nice
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 22, 2017",Nusrat Munzarin Methila,136,"Awesome awesome awesome! This is so good! I am not good with roads and places so I used to avoid going to different places. But now thanks to Pathao, I don't have to worry about it! 😁😁 Thank you! ❤️  PS. Got one of my bones broken for the first time with Pathao. 👍"
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","December 25, 2017",Kowsar Ahamed,8,"They are increasing price. Which is not good. Because price is already high..if the price is higher than riksha rent(which is already) i won't use it and most people too, at least not for regular use..in case or emargency i may use it."
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","December 19, 2017",Fardin Bhuiya,54,"Ad deoar jonno keno youtube bivinno video r prothome ,maje deo?? Disturb keno kore Faltu apps Vogas Dont download"
"<div aria-label=""Rated 2 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","December 27, 2017 January 2, 2018",Fakrul Islam Pathao Inc,1,"I call a driver twice but he didn't response it & after few second I found my ride was canceled. How?? is it driver choice or passenger?? Then I found another driver & saw my fare was 220 TK but after reaching my destination it became 243Tk How??  I think ""UBER"" is better than this."
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","December 21, 2017 December 27, 2017",Md. Saiful Ahmad Pathao Inc,38,"Tried to get the registration code on my mobile for 4th or 5th times, failed every time. Disappointing."
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 27, 2017",Arman H.,2,Good service For Bike ride.i also use pathao Courier they are too much good payment and deliver product on time.
"<div aria-label=""Rated 4 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","December 26, 2017",Mamur Sadi,3,Easy and didn't had any trouble 20+ rides so far. But riders should carry helmets.
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 18, 2017",Md. Monirul Islam,27,Rider er bike er name and number rider information e show korle vlo hoto. And history te rider er contract number thakle vlo hoi....
"<div aria-label=""Rated 4 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","December 20, 2017",Farhadh khandoker,10,গুগল ট্রাফিক আপডেট এর সাথে যুক্ত করলে আরো সুবিধা হবে। নিয়মিত ব্যবহার করি। ধন্যবাদ।
"<div aria-label=""Rated 4 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","December 19, 2017 December 19, 2017",Imrul Kayes Pathao Inc,16,Overall good app but need some improvement in interface & design
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 9, 2018",Shamim Ahammed,0,It's a hacking app. It upload and stors peoples personal data. play store should ban it.
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 9, 2018",Md.Mehfil Rashid Khan Samio,0,Started stealing personal information. Phone numbers and messages are being read by this application.
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","January 3, 2018 January 8, 2018",shaihan 00 Pathao Inc,2,pathao a ride request daor por pick up point a pick kprtea asea na ring dhorea na
"<div aria-label=""Rated 4 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","December 26, 2017",Surov Ahmed Ashick,3,Service is good but apps facing some problem...
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 25, 2017",A Google user,2,This app is very good.awesome service.I like it.
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 26, 2017",Forlorn Tahmid,3,I m not geeting the distance in k/m
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","November 8, 2018",Nabil Mosharraf Hossain,1,They steal user information
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","September 16, 2018 November 11, 2018",samiul abir Pathao Inc,0,fix the gps problem!!
"<div aria-label=""Rated 4 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","December 27, 2017",Tipu Sultan Ridoy,1,They have to improve their apps.
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 21, 2017",Russell Mahmud's,5,It's amazing.
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","December 21, 2017",md nazat,5,basi vara daua.. faul app..
"<div aria-label=""Rated 4 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","December 24, 2017 December 24, 2017",AHMED IQBAL Pathao Inc,5,We want pathao in Narayanganj please
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","January 20, 2018 January 24, 2018",Ahsun Mahmud Riad Pathao Inc,0,helpline is too much poor
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 25, 2017",Rafid Raihan,2,Dont know😋😋
"<div aria-label=""Rated 3 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","December 25, 2017 December 27, 2017",Bd Boy Pathao Inc,2,Please come to SYLHET
"<div aria-label=""Rated 4 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","December 25, 2017",drrobin imran2,3,need to improve
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 24, 2017",A Google user,4,Thanks.
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 21, 2017",asma forhad,7,Good apps
"<div aria-label=""Rated 3 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","December 25, 2017 December 27, 2017",Siam Rahman Pathao Inc,3,Why email bro why ??? 🖓🖓🖓
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","February 23, 2018",Belal Ahmed,0,too muchh very love u  pathao
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 24, 2017",Star Luxury নক্ষত্র বিলাস,2,On-Green-Geo
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","December 28, 2017 January 1, 2018",Tutul Talukdar Pathao Inc,1,Worst app
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 26, 2017",Md. Fazlay Rabbi,3,Good app
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 29, 2017",Nafees Hussain,0,So far so good
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 24, 2017",K M E Hoque,2,very good
"<div aria-label=""Rated 1 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","September 18, 2018 November 11, 2018",THE TOP HITS Pathao Inc,0,বাল
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 26, 2017",A Google user,7,nice
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 21, 2017",crazy boy,4,good
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","December 19, 2017",Jony Mozumdar,9,nice
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","January 1, 2018",Sujon Ahmed,0,Great apps
"<div aria-label=""Rated 4 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""L0jl5e bUWb7c""></div></div>","May 22, 2018",borhan suman,0,good apps
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","February 17, 2018",A Google user,0,Good
"<div aria-label=""Rated 5 stars out of five stars"" role=""img""><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div><div class=""vQHuPe bUWb7c""></div></div>","July 28, 2018",A Google user,0,Good
