,Unnamed: 0,Review,Comment_Count,Reaction,Name,Date,Time
55,59,Just now got a call from this number: +8809666770800. She is asking too many personal question and telling that this servey will help pathao service.  Is it verified number of pathao or something else??,1,14,Ta NvIr to Pathao Users Of Bangladesh,2018-01-21, 4:42 PM
56,60,"...and share his motorcycle to help you reach your destination in time. To ensure your safety, Pathao riders are personally assessed, trained and verified before they can deliver rides, your whereabouts a...",52,545,Pathao,2017-10-10, 3:54 PM
57,61,+8809666770800 is it Pathao servery related number? Today I got a call & she was asking my personal life related few information???,5,14,Tanvir Islam Bappy to Pathao Users Of Bangladesh,2018-01-18,11:45 PM
58,62,Pathao Ltd. is looking for a driven individual as Operations Executive in our Courier Department. Pathao is the fastest growing technology company in Bangladesh solving some of the country’s most chall...,1,14,CareerBuzz,2018-01-09,10:38 AM
59,63,"...and I called pathao helpline and informed about it. How come my personal number which I gave in Pathao can go to these type of fraud ? Are you aware of these activities ? Unfortunately, there are many...",4,16,Meherdad Yousuf Ahmed to Pathao Bikers & Riders,2017-07-17,10:52 AM
60,64,Personal pathao service for Amma 😍😍😍,6,286,Apple Mahmud Emil,2018-01-21, 5:00 PM
61,65,"As you all know, Pathao is stealing your Data, as a conscious citizen of this country, you should report to Google Play Store for Pathao App.
1. Go to Play Store.
2. Search & Open Pathao App 3. On the upper right corner, you see three dots. Click on that. 4. Select Flag as…",17,55,Nagib Mahfuz Plabon to Desperately Seeking Dhaka - DSD,2018-10-11, 8:43 AM
62,66,That shared video explains how Pathao steals your private data. I have given screenshot of Pathao's AndroidManifest.xml. There are all the permissions that Pathao use to steal data from user but when y...,2,15,Anik Chowdhury,2018-07-11, 7:33 AM
63,67,Disgraceful !! Pathao is a data thief !! This is some SERIOUS invasion of privacy. So many people are complicit in this and I truly wonder what they were thinking. Why on earth would a 'corporate compa...,1,8,Nazmu Masood,2018-08-11,11:23 PM
64,68,"Hiring Data Scientists 
(Ninjas!!). If you or any of your friends are interested in #movingBangladesh, do buzz me! 
#Pathao",6,34,Andalib Hasan,2018-12-02, 8:08 PM
65,69,Let's look at the data privacy issue of Pathao,38,2100,The Daily Star,2018-12-11,10:57 AM
66,70,"...Missed a lot in the week and finally read up on the possible data security issue of Pathao today. Checked my app permissions and voila, Pathao has access to my SMS. I felt infuriated then immediately s...",11,152,Ashiq Alam,2018-09-11, 1:04 AM
67,71,"#help_post_for_googleplay_services
1. Remove the Gmail with which Uber or Pathao is running (setting>account>google >remove account) 
2. Uninstall Uber & Pathao.  3. Clear cache for Google play services (setting>apps>google play services>clear cache) DNT…",1,1,Abu Bakar Siddique to Pathao Users Of Bangladesh,2018-11-05, 2:26 PM
68,72,“Pathao” From “Moving Bangladesh” to “Moving Data”. This escalated so quickly.,4,68,Shaurov Sheikh,2018-09-11,12:13 PM
69,73,"Problem of PATHAO
১. On হয়না।
২. On হলে, location update হয়না।
৩. location update হলে, Requisite আসে না।
৪.  Requisite আসলে, Sound শুনা যায়না।
৫. Sound শুনা গেলে, Popup হয়না।
৬. Popup  হলে, Data show করে না।
৭. Data show করলে, Accept হয় না। ৮. Accept হলে,…",2,23,Mizanur Rahman to Pathao Users Of Bangladesh,2017-11-29,12:40 AM
70,74,"You'll always win with Pathao! Dhaka users will now get amazing discounts just by requesting more car rides or food orders from the Pathao app. Top 10 food users will get 100% discount on 3 car trips (up to 200tk), while Top 10 car users get 100% discount on 2 food…",14,192,Pathao,2018-09-24, 1:36 PM
71,75,I'm so lifeless that if Pathao data scientists search my entire online data they'll regret how much of their valuable times are wasted.,5,52,Raiyad Raad,2018-08-11, 8:01 PM
72,76,...Wifi dye request dsilam & mobile e amr data thake nah ajonno Pathao app check krte pare nai. Call o receive kortasilo na uni. Mone krselam uni JAM e prse & ringtone khyal krtsa nah. r pore Data r card...,2,9,Amir Faruk to Pathao Users Of Bangladesh,2018-12-05, 1:15 AM
73,77,"The ultimate delivery solution for Bangladesh.
We are here for all your E-commerce delivery needs.
To avail the service, 
Sign up here- https://pathao.com/merchant-registration
Fore more information, Call: 09678100800, and press 2.",35,1900,Pathao,2017-02-04, 5:58 PM
74,78,"#help_post_for_googleplay_services
1. Remove the Gmail with which Uber or Pathao is running (setting>account>google >remove account) 
2. Uninstall Uber & Pathao.  3. Clear cache for Google play services (setting>apps>google play services>clear cache) DNT…",2,4,Abu Bakar Siddique to Uber Users of Bangladesh,2018-11-05, 2:27 PM
75,79,"...হাজার হাজার অ্যাপ থাকতে শুধু একটা Apps-এর নাম কন??? আপানরা সবাই শুনেন.. এমন Data/SMS শুধু Pathao না, আরও অনেক Apps (Whatsapp, Viber, IMO, Uber, Bkash, Facebook etc) চুরি করতেছে অথবা চাইলেই চুরি করতে পা...",3,9,Zaheed Hossain,2018-09-11, 3:49 AM
76,80,"As you all know, Pathao is stealing your Data, as a conscious citizen of this country, you should report to Google Play Store for Pathao App.
1. Go to Play Store.
2. Search & Open Pathao App 3. On the upper right corner, you see three dots. Click on that. 4. Select Flag as…",17,55,Nagib Mahfuz Plabon to Desperately Seeking Dhaka - DSD,2018-10-11, 8:43 AM
77,81,That shared video explains how Pathao steals your private data. I have given screenshot of Pathao's AndroidManifest.xml. There are all the permissions that Pathao use to steal data from user but when y...,2,15,Anik Chowdhury,2018-07-11, 7:33 AM
78,82,Disgraceful !! Pathao is a data thief !! This is some SERIOUS invasion of privacy. So many people are complicit in this and I truly wonder what they were thinking. Why on earth would a 'corporate compa...,1,8,Nazmu Masood,2018-08-11,11:23 PM
79,83,Is this true that pathao is stealing our information...???,8,9,Niloy Ahmed to Desperately Seeking Dhaka - DSD,2018-10-11,11:14 PM
80,84,I'm so lifeless that if Pathao data scientists search my entire online data they'll regret how much of their valuable times are wasted.,5,52,Raiyad Raad,2018-08-11, 8:01 PM
81,85,"#Pathao Data চুরি! 
API uploading messages on the server from users!!
 
Version: 3.3.0
Tested via Burp suite",2,6,Sharmin Khan Urmi,2018-12-11, 3:09 PM
82,86,Does Pathao actually steal personal information?,23,1200,TahseeNation,2018-11-16, 8:29 PM
83,87,"Facebook/Google Data churi kortesa. R Ekhon Pathao Data churi kortesa.... Internet & smartphone use kora stop kore daw Bangali 😎😎😎😎😎 I agree Data niche eita thik nah. Digital hote chai, sob kisu automa...",2,10,Reza Labisa is feeling funny.,2018-10-11,10:49 AM
84,88,Looking for two person who will manage to drive Bike in Uber/Pathao.Interested persons are highly recommend to inbox me.Thank you 😊 NB:I’ll provide bikes.,1,3,Mohaimin Rahabar to Desperately Seeking Dhaka - DSD,2018-06-27, 7:28 AM
85,89,"...And most importantly, You don't have to register to Pathao for it. You can fetch their data with your low-spec phone, from Bangladesh or anywhere. In just 2 minutes, I found 10+ active URL with private...",2,31,Mugdho Sapiens,2018-12-23, 6:11 PM
86,90,"Personal + Uber/Pathao
ড্রাইভার প্রয়োজন !!!
সময়: 8:00 AM থেকে 10:00 PM (ঢাকায়)
অভিজ্ঞতা: 4 বছর (অন্তত ঢাকায়)
শিক্ষা: ক্লাস 8 (আট)পাস
স্থান: মিরপুর-2
স্থায়ী বেতন 12,000 TK + Part time Uber/Pathao Commission 15% (After Expense)  শুধুমাত্র আগ্রহী ব্যক্তিকে যোগাযোগের নম্বর…",18,14,Zobayed Hassan to Uber driver Dhaka🚃,2018-10-13,12:39 PM
87,91,"...and share his motorcycle to help you reach your destination in time. To ensure your safety, Pathao riders are personally assessed, trained and verified before they can deliver rides, your whereabouts a...",52,545,Pathao,2017-10-10, 3:54 PM
88,92,When your younger brother is your personal Pathao rider🌚❤️,1,61,Rubaiyaat Adiba is with Alif Liam.,2018-08-12, 8:04 PM
89,93,"Mazda Axela 2005  Price: ৳7,50,000  Dhaka, Bangladesh Mazda Axela.Urgent Sale. Make Year : 2005 Registration :2008 Serial :23 Color : Silvrer. CC:1500 Transmission : Automatic Options : Ice cool AC, Original Alloy Rim with new tyre, New battery,Full…",1,17,Shobarbazar.com,2018-01-10, 1:49 PM
90,94,"Personal + Uber
ড্রাইভার প্রয়োজন  জানুয়ারী মাস থেকে !!!
সময়: 8:00 AM থেকে 10:00 PM (ঢাকায়)
অভিজ্ঞতা: 4 বছর (অন্তত ঢাকায়)
শিক্ষা: ক্লাস 8 (আট)পাস
স্থান: মগবাজার,ডাক্তারগলি
স্থায়ী বেতন 10,000 TK + Part time Uber/Pathao Commission 25% (After Expense) Car : Toyota…",4,6,Dipanjal Chakraborty to Uber driver Dhaka🚃,2018-09-12, 1:06 PM
91,95,"Personal + Uber/Pathao
ড্রাইভার প্রয়োজন !!!
সময়: 8:00 AM থেকে 8:00 PM (ঢাকায়) 
অভিজ্ঞতা: 4 বছর (অন্তত ঢাকায়) 
শিক্ষা: ক্লাস 8 (আট)পাস 
স্থান: মিরপুর ডিওএইচএস 
স্থায়ী বেতন 10,000 TK + Part time Uber/Pathao Commission 30% (After Expense) X Corolla   শুধুমাত্র আগ্রহী ব্যক্তিকে আপনার…",2,7,Tanvir Rahman to Dhaka Drivers Group,2018-07-10, 5:02 PM
92,96,"...and share his motorcycle to help you reach your destination in time. To ensure your safety, Pathao riders are personally assessed, trained and verified before they can deliver rides, your whereabouts a...",51,2000,Pathao,2017-10-10,12:56 PM
93,98,"Dear Pathao & Pathao Users Of Bangladesh, I would have posted this status yesterday but I was in an immense amount of shock. How can I not be in shock? I literally bathed in my blood yesterday and even...",43,218,Mohammadullah Imran,2018-05-12, 4:29 PM
94,100,"Love is when the other person's happiness is more important than your own. - H Jackson Brown Jr. Check out the full version of ""Pathao"" Natok!",1,12,Real Chamak,2018-02-20, 1:43 PM
95,101,Suggestion: Pathao should introduce wallet system where we can recharge our pathao wallet via bank cards or bkash. Fair should be deducted from the Pathao wallet by the app after ending the ride. Both...,1,14,Muhtasim Rafin to Pathao Users Of Bangladesh,2017-10-05,12:07 AM
96,102,"Dear customers,
In the celebration of Independence, we want to be on your side. We have all worked very hard to get where we are today, be it personal freedom, financial freedom, or national freedom. Keeping all that in mind, we have a small token of appreciation for…",75,53000,Pathao,2017-03-18, 5:48 PM
97,103,"Personal + Uber/Pathao
ড্রাইভার প্রয়োজন !!!
সময়: 8:00 AM থেকে 10:00 PM (ঢাকায়)
অভিজ্ঞতা: 4 বছর (অন্তত ঢাকায়)
শিক্ষা: ক্লাস 8 (আট)পাস
স্থান: মিরপুর-2
স্থায়ী বেতন 12,000 TK + Part time Uber/Pathao Commission 15% (After Expense)  শুধুমাত্র আগ্রহী ব্যক্তিকে যোগাযোগের নম্বর…",18,14,Zobayed Hassan to Uber driver Dhaka🚃,2018-10-13,12:39 PM
98,104,"...They don't accept bkash let alone pathao pay. As far as I know pathao pays riders bonus amount in bkash still they say ""I don't have bkash"". Moreover reckless riders all around. I am using uber moto an...",5,42,Hossain Aftab to Pathao Users Of Bangladesh,2018-08-30,10:02 PM
