Star,Date,Name,Reaction,Review
1,"11 8, 2018 11 8, 2018",SM Amanatul Pathao Inc,5,They are stalling data without permission including sms & Contacts and other sensitive information without acknowledging the user. Moreover their security and privacy policy is not mentioning such activities like that. Everyone should boycott pathao right now for your personal security in virtual en...Full ReviewThey are stalling data without permission including sms & Contacts and other sensitive information without acknowledging the user. Moreover their security and privacy policy is not mentioning such activities like that. Everyone should boycott pathao right now for your personal security in virtual environment.
1,"10 24, 2018 11 4, 2018",Sanjeda Preity Pathao Inc,140,It takes 15 to 20 minutes to locate location with GPS. My net connection isn't slow and other ride sharing apps works perfectly. Reinstalled it million times as well as rebooting my phone set. Still doesn't work. Please improve it.
1,"11 9, 2018 11 11, 2018",A Google user Pathao Inc,0,Very very bad
1,"11 9, 2018 11 3, 2018",Zarif Mahmud Pathao Inc,3,"Why do u need private next messages & contacts list from us? Our privacy is being corrupted, thus I am uninstalling the app!"
1,"11 16, 2018 11 19, 2018",Ashim Kumar Pathao Inc,0,Bad services provide
1,"11 8, 2018 11 8, 2018",Fahim Murshed Pathao Inc,23,"They steal the users data, sms, controlled the phone without user permission. Even they refused my request to terminate my account."
1,"11 8, 2018 11 8, 2018",Sultan Mahmood Pathao Inc,18,৮৯টাকা ভাড়া দেখিয়ে রাইড শেষে ১৫৯ টাকা বিল। অবাস্তব একটা সার্ভিস। তার উপর লাইট কার নন এসি। তো ১৫৯ টাকায় আমি এসি গাড়ি ই পেতাম।আপনাদের বাজে সার্ভিসের ২বার বাজে অভিজ্ঞতা হলো। এপ ইয়ুজ করাই বন্ধ করে দিবো
1,"11 8, 2018 11 8, 2018",Abdullah Sabbir Pathao Inc,4,"Can't even log in from my Android P device. Always shows ""A system issue occurred""."
1,"11 8, 2018 11 5, 2018",Arafat Hossain Adi Pathao Inc,3,this app stole sms from users phone. this service should be banned asap.
1,"11 11, 2018 11 11, 2018",Shawn Hasan Pathao Inc,0,Very bad app
1,"11 11, 2018 11 4, 2018",A Google user Pathao Inc,0,Data is in risk
1,"10 24, 2018 11 4, 2018",A Google user Pathao Inc,0,Dhoner app
1,"10 27, 2018 11 3, 2018",A Google user Pathao Inc,0,Busted apps
1,"12 18, 2017 12 24, 2017",Sabiha Kabita Pathao Inc,0,Worst app
1,"11 8, 2018 11 8, 2018",Muib Ahmed Pathao Inc,7,"Taking certain forms of data from your customer base with no mention of it anywhere, not even in your privacy page, is nothing short of data theft."
1,"11 11, 2018 11 11, 2018",Funny Moments Pathao Inc,0,Worst app ever
1,"11 8, 2018 11 10, 2018",Ahsan Habib Pathao Inc,0,Be careful :P
1,"11 8, 2018 11 8, 2018",MS Rumon Pathao Inc,4,It steals personal information from my phone and stores them in their server. I don't understand why do they need SMS and Contacts permission...
1,"6 16, 2017 12 21, 2017",akhiruzzaman rakib Pathao Inc,0,it's taking lots of procedure.
1,"11 7, 2018 11 7, 2018",Stupid's Villa Pathao Inc,34,This is the bad app ever I met This apps stealing everyones phones contact and personal info.
1,"11 7, 2018 11 8, 2018",A Google user Pathao Inc,5,How do I delete my account its misusing our information and don't let us delete account.
1,"10 11, 2018 11 1, 2018",Imtiaz Shazid Pathao Inc,0,Not up to the mark with others.
1,"7 31, 2018 11 13, 2018",chef jahid Pathao Inc,0,Worse experience gained
1,"10 30, 2018 10 31, 2018",Imran Pathao Inc,1,The distance calculation is completely wrong. Every single time my distance is calculated at least 2-3 km more than it originally is.
1,"12 22, 2017 12 24, 2017",Farabi Rahman Pathao Inc,0,mata nosto bokwas app
1,"10 29, 2018 11 3, 2018",إسماعيل عبد الله Pathao Inc,3,"খুব ই বাজে সার্বিস।আমার কাছ থেকে প্রাপ্য ভাড়া থেকে অনেক বেশি টাকা ভাড়া রাখছে, তাও আমাকে ৩ কিলো আগে নামায়া দিছে।।।যেখানে ভাড়া ১৮০ সেখানে ৩০০ টাকা রাখছে।।"
1,"10 28, 2018 11 3, 2018",A Google user Pathao Inc,2,I request to go to from mirpur 14 to Bosila road Mohammadpur after using promo the fare showed 90tk but after reaching there the driver asked to pay 150 taka there was no traffic while riding and the driver also very rude
1,"3 6, 2018 3 23, 2018",asiful Islam Pathao Inc,0,please donvt add again
1,"11 7, 2018 11 7, 2018",Shawrup Kumer Suter Pathao Inc,0,Why do you want permission to read sms while app startup? Do you really steal sms from customers?
1,"10 29, 2018 11 3, 2018",AH SHUVO Pathao Inc,4,অাপনারা টাকার লোভে যারে তারে Rider List এ যোগ করছেন। যেসকল রিকসাওয়ালা বাইক চালানো শিখেনাই তাদের পর্যন্ত Add করে নিচ্ছেন। অাপনাদের চেয়ে অন্যান্য রাইড শেয়ারিং এ্যাপস অনেক ভাল কারণ তারা যারে তারে যোগ কইরা নেয়না। এভাবে বেশিদিন টিকে থাকতে পারবেন না। অাপনাদের রাইডার রা কতটা Unprofessional অার খারাপ সেটা স...Full Reviewঅাপনারা টাকার লোভে যারে তারে Rider List এ যোগ করছেন। যেসকল রিকসাওয়ালা বাইক চালানো শিখেনাই তাদের পর্যন্ত Add করে নিচ্ছেন। অাপনাদের চেয়ে অন্যান্য রাইড শেয়ারিং এ্যাপস অনেক ভাল কারণ তারা যারে তারে যোগ কইরা নেয়না। এভাবে বেশিদিন টিকে থাকতে পারবেন না। অাপনাদের রাইডার রা কতটা Unprofessional অার খারাপ সেটা সবাই জানে এখন। একমাত্র অাপনাদের এড করা অশিক্ষিত মুর্খ সিএনজিওয়ালা টাইপ রাইডার রাই হবে অাপনাদের পতনের কারণ। পারলে নতুন নিয়ম চালু করুন। শুধুমাত্র শিক্ষিত দেরকে Add করুন অাপনাদের রাইডার লিস্টে। বিশেষ করে যাদের যোগ্যতা নুন্যতম H.S.C Pass তাদেরকে Add করুন অার বাকি অশিক্ষিতদেরকে ছাটাই করুন। রাইড শেয়ারিং মাধ্যমে অশিক্ষিতরা থেকে গেলে অাপনাদের পতন হতে বেশি সময় লাগবেনা। জানি কথাগুলো অাপনারা কানে নিবেন না এখন। কিন্তু একদিন ঠিকই বুঝতে পারবেন যখন সকল ইউজার হারাবেন। অলরেডি সবাই অাপনাদেরকে বয়কট করা শুরু করেছে। অাপনাদের অশিক্ষিত মুর্খ রাইডারদের কাছে কেউ Safe না।
1,"3 14, 2018 3 21, 2018",Arman Rpr Pathao Inc,0,very bad app
1,"10 31, 2018 11 3, 2018",A Google user Pathao Inc,0,Here are so many notifications..stop it please..I'm totally annoyed.
1,"2 11, 2018 2 27, 2018",Sarwar Ahmed Pathao Inc,0,Very very bad
1,"4 8, 2018 4 8, 2018",Akash khan Pathao Inc,0,কুমিল্লায় কবে চালু হবে।
1,"10 18, 2018 3 21, 2018",A Google user Pathao Inc,12,Always asks for email. But i have gmail account😡😡
1,"11 19, 2018 11 19, 2018",rojab khan Pathao Inc,1,I review this app some day ago but someone delete my review. Shame pathao
