Star,Date,Name,Reaction,Review
1,2018-09-11,Wasif Khan,80,"I was pissed when I saw that you guys were transferring completely unrelated info like personal messages and contact information from your users' phone. You have nothing to use those for the services that you advertise to provide. Now you could have stepped up to the plate and owned your mistakes. C...Full ReviewI was pissed when I saw that you guys were transferring completely unrelated info like personal messages and contact information from your users' phone. You have nothing to use those for the services that you advertise to provide. Now you could have stepped up to the plate and owned your mistakes. Could have said that you were sorry for such a blatant breach in privacy and rolled out an update which does not steal information. Did you do that? Of course not. You issued a statement which DEFENDS what you did and cried about ""some very bad people"" who are envious of your ""success"". Try to understand that no one gives you the permission to transfer their messages to your servers. Accessing messages and contacts does not mean stealing those.  Good riddance to Pathao. Can now put those MBs to some better use."
1,2017-05-11,Engr shamim,0,Bad
1,2018-09-11,Saifur Rahman,0,Information thief
1,2018-12-11,ART,60,I have been using 'Pathao' for more than last 6 months. Recently I came to know that they are stealing user's personal information secretly without prior knowledge of the user. I didn't want to give any star to this  app. This app should be banned so that in future all app developers should be respe...Full ReviewI have been using 'Pathao' for more than last 6 months. Recently I came to know that they are stealing user's personal information secretly without prior knowledge of the user. I didn't want to give any star to this  app. This app should be banned so that in future all app developers should be respectful and honor their user & user's private information.
1,2018-08-11,Ruhul Amin Sujon,0,Faul
1,2018-09-11,Nuruzzaman Sajjad,5,it's disaster.
1,2018-11-15,Zobair Ibn Alam shoumik,0,why do you guys take sms and contact :@
1,2018-11-13,Muqtasid Tashfin,0,This app steals personal information.
1,2018-10-11,Md Faruk Hossain,3,Its a Scam. Don't install this apps.
1,2018-09-11,Tanvir Ahmed Khan,1,"This app steals user SMS, and saves a copy of stolen data of every user on their server. I want immediate ban of this app from PlayStore."
1,2018-09-11,A Google user,0,Garbage app. Steals personal information. Uninstalled it RIGHT NOW as I did. Don't get ammuse with paid reviews.
1,2018-08-11,Tasrif Tanim,9,Shame on you guys. This not a fair way of using our data and violating our privacy.
1,2017-12-18,Ariful Islam,0,faltu ekta app
1,2018-10-11,Nazia Ahmed,0,This company is streaming their users' private data.
1,2018-09-11,Zunayed Ishmum,1,Steals data from users
1,2018-09-04,Kawsar Ahmed,0,md azad
1,2018-04-28,saddam hosen,0,হালার পুলারা
1,2018-11-13,__ Faiyaz,0,Well you all know the reason 😪
1,2018-09-11,Asraful Sanjid,4,bad😡
1,2018-05-18,Kazi Ridwanul Islam,0,fed up
1,2018-05-15,A Google user,0,Bad Service
1,2018-06-05,A Google user,0,Very bad
1,2018-01-05,ferdous wahid,0,damn app
1,2018-02-06,Anaf Zahin,0,Rubbish app
1,2018-09-11,mueid muntasir,3,u guys r stealing sensitive data.. Not expected these kind of fruad activities from such a renowned company of Bangladesh. Straight unistalled.. good bye THAPAO!
1,2018-08-11,Sajjad Hossain,35,"This is mainly a motorcycle ride share app. But they have been stealing all of user's personal sms and contact lists. Which is not ethical. Also they do not have any proper explanation for this. They are just saying, if user don't like it then do not give sms access permission to the app. But that d...Full ReviewThis is mainly a motorcycle ride share app. But they have been stealing all of user's personal sms and contact lists. Which is not ethical. Also they do not have any proper explanation for this. They are just saying, if user don't like it then do not give sms access permission to the app. But that doesn't explain why they were stealing our personal sms. Shame on them."
1,2017-03-08,Tasrif Tanim,0,This app is a pice of poop...!
1,2018-11-11,Shuvo Howlader,0,Improve your security service... and do protect our data.
1,2018-05-27,Moon Chy,0,I don't like
1,2018-10-11,Nur Hassan,0,it steel public data
1,2018-09-11,A Google user,0,Harumful to data or device
1,2018-06-19,Ashik Ur Rahman,0,App kaj korena
1,2018-09-06,Sudorshon Kumar,0,faul jinish potro
1,2018-03-06,Md. Shakhawat Hossain,0,stop sending add
1,2018-02-06,Abdullah Al Noman,0,It is Dummy service
1,2018-04-29,Hasibul Hasan,0,Bad apps
1,2018-11-13,Shakir Hossain,1,Data thieves
1,2018-04-18,Mohibbur Rahman Samuel,0,Not good
